participant_id,school_id,district_id,study_yr,iqa,lmt,female,race_black,race_asian,race_white,race_hispanic,race_amind,race_pi,born_yr,full_cert,part_cert,none_cert,math_method,math_content,math_advance,grade_level_6,grade_level_7,grade_level_8,math_teach_yrs,c_ishtrack_flg,c_n,c_pctlep,c_pctsped
20304,203,2,1,2.583333,-0.77802449,1,0,0,1,0,0,0,1978,1,0,0,1 Course,1 Course,1 Course,1,0,0,2,0,23,8.695652,8.695652
20304,203,2,2,2.083333,-0.67228001,1,0,0,1,0,0,0,1978,1,0,0,1 Course,1 Course,1 Course,1,0,0,3,0,13,7.692307,0
20304,203,2,4,2.416667,-0.67299998,1,0,0,1,0,0,0,1978,1,0,0,1 Course,1 Course,1 Course,1,0,0,5,0,19,5.2631578,0
20305,203,2,1,2.25,0.93839252,1,0,0,1,0,0,0,1976,1,0,0,1 Course,0 Courses,5 or More courses,0,0,1,8,0,19,21.052629,5.2631578
20305,203,2,2,3.083333,1.53233,1,0,0,1,0,0,0,1976,1,0,0,1 Course,0 Courses,5 or More courses,0,0,1,9,1,18,0,0
20305,203,2,3,1.583333,1.3714035,1,0,0,1,0,0,0,1976,1,0,0,1 Course,0 Courses,5 or More courses,0,0,1,10,0,16,12.5,50
20306,203,2,1,2,0.42219099,0,1,0,0,0,0,0,1960,0,1,0,1 Course,2 Courses,4 Courses,0,1,0,2,0,21,4.7619052,9.5238094
20306,203,2,2,2.583333,-0.26427799,0,1,0,0,0,0,0,1960,1,0,0,1 Course,2 Courses,5 or More courses,0,1,0,3,0,10,30,50
20306,203,2,4,2,-0.236936,0,1,0,0,0,0,0,1960,1,0,0,1 Course,5 or More courses,2 Courses,0,1,0,5,1,29,0,0
20307,203,2,2,2,-0.52740699,1,0,0,1,0,0,0,1947,1,0,0,4 Courses,4 Courses,0 Courses,1,0,0,32,0,24,0,0
20307,203,2,3,0.5,-0.93388498,1,0,0,1,0,0,0,1947,1,0,0,5 or More courses,5 or More courses,0 Courses,1,0,0,33,0,25,8,32
20308,203,2,2,2.166667,-0.384994,1,0,0,1,0,0,0,1980,1,0,0,5 or More courses,5 or More courses,1 Course,0,1,0,5,0,10,0,0
20313,203,2,3,1.583333,-0.27834001,1,0,0,1,0,0,0,1979,1,0,0,5 or More courses,5 or More courses,3 Courses,0,0,1,5,0,12,16.66667,0
20313,203,2,4,2.166667,0.17407501,1,0,0,1,0,0,0,1979,1,0,0,5 or More courses,5 or More courses,5 or More courses,0,0,1,6,0,21,9.5238094,0
20315,203,2,4,2.25,-0.074945003,1,1,0,0,0,0,0,1958,1,0,0,5 or More courses,5 or More courses,5 or More courses,0,0,1,14,1,20,0,0
20318,203,2,1,1.5,-1.8475565,0,1,0,0,0,0,0,1982,1,0,0,3 Courses,5 or More courses,0 Courses,1,0,0,2,0,23,13.04348,4.347826
20321,202,2,4,2.083333,-1.33666,1,1,0,0,0,0,0,1982,1,0,0,0 Courses,0 Courses,0 Courses,1,0,0,2,1,32,0,0
20327,203,2,4,2.166667,-1.064965,0,1,0,0,0,0,0,1972,1,0,0,5 or More courses,5 or More courses,5 or More courses,0,0,1,3,0,16,6.25,0
20332,203,2,4,2.5,-0.84654999,0,0,0,0,1,0,0,1971,1,0,0,0 Courses,0 Courses,1 Course,1,0,0,1,0,21,19.047621,61.904758
20402,204,2,2,3.166667,-0.37964401,1,0,0,1,0,0,0,1943,1,0,0,3 Courses,3 Courses,0 Courses,1,0,0,34,0,23,4.347826,8.695652
20403,204,2,1,2,-0.70930398,1,0,0,1,0,0,0,1982,0,1,0,0 Courses,0 Courses,1 Course,1,0,0,1,0,27,18.51852,25.92593
20403,204,2,2,1.25,-0.54181498,1,0,0,1,0,0,0,1982,1,0,0,0 Courses,0 Courses,1 Course,0,1,0,2,0,1,0,0
20403,204,2,3,1.75,-0.58626997,1,0,0,1,0,0,0,1982,1,0,0,0 Courses,0 Courses,2 Courses,0,1,0,3,0,29,17.241381,6.8965521
20403,204,2,4,2,0.2191025,1,0,0,1,0,0,0,1982,1,0,0,3 Courses,0 Courses,2 Courses,0,1,0,4,0,26,7.692307,0
20404,204,2,1,2.166667,0.48653299,1,0,0,1,0,0,0,1967,1,0,0,1 Course,5 or More courses,0 Courses,0,1,0,7,0,30,0,0
20404,204,2,2,2,1.2070515,1,0,0,1,0,0,0,1967,1,0,0,1 Course,5 or More courses,0 Courses,0,0,1,8,0,22,4.545455,0
